SLIDE_NO,STATE,DISTRICT,TOPOSHEET,SLIDE_NAME,"NH_SH 
LOCATION",LATITUDE,LONGITUDE,LENGTH,WIDTH,HEIGHT,LS_AREA,DEPTH,"LANDSLIDE ALERT
 CATEGORY",VOLUME,"RUN_OUT_
DISTANCE","MATERIAL 
TYPE","MOVEMENT 
TYPE","MOVEMENT 
RATE",ACTIVITY,DISTRIBUTION,STYLE,"FAILURE 
PLANE","FAILURE 
MECHANISM","INITIATION 
YEAR","REACTIVATION 
YEAR1","REACTIVATION 
YEAR2","REACTIVATION 
YEAR3",GEOMORPHOLOGY,GEOLOGY,STRUCTURE,"LANDUSE 
LANDCOVER",HYDROLOGICAL,"TRIGGERING 
FACTOR","PERSONS 
DEATH","PEOPLE 
AFFECTED","LIVESTOCK 
AFFECTED","COMMUNICATION 
AFFECTED","INFRASTRUCTURE 
AFFECTED","LANDUSE 
LANDCOVER 
AFFECTED",GEOSCIENTIFIC_CAUSES,"PRE-REMEDIAL 
MEASURES",REMARKS,Citation,REPORT,PHOTOS,ABSTRACT,,,
HP/CHA/52D3/2019/68,Himachal Pradesh,Chamba,52D03,,Ghatarla village,32.28944,76.17972,100.00,70.00,90.00,,>5m,II,,150.00,Debris and Rock,Slide,Moderate,Active,Retrogressive,Multiple,Deep seated,Deep planar failure,2018 August,,,,Highly Dissected,Sandstone mudstone intercalated," JI 70/30->340, J2 130/50->220, J3  220/76->310",Moderately vegetated,Damp,Rainfall,Nill,,,,,,"River toe cutting,
incessant rainfall","Slope easing, Proper drainage diversion from affected slope. Shifting of settlement frm crown portion.",Proper toe support.,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/133,Himachal Pradesh,Chamba,43P15,,Berrian,32.43247,75.95514,35.00,30.00,30.00,,0-0.5m,III,,2.00,Debris,Slide,Rapid,Reactivated,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Sandstone mudstone intercalated,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Loose debris saturation by rainfall,Retaining wall of suitable size and dimension,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/126,Himachal Pradesh,Chamba,43P15,,Taragarh,32.41763,75.95349,66.00,33.00,50.00,,0-1m,III,,35.00,Debris,Slide,Rapid,Reactivated,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Sandstone mudstone intercalated,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Loose debris saturation by rainfall,Removal of debris material from the slope,Culvert is required at road ,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/135,Himachal Pradesh,Chamba,43P15,,Berrian,32.42564,75.96472,18.00,12.00,15.00,,0-1m,III,,5.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Sandstone mudstone intercalated,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Unscientific road cutting. Incessant rainfall,Retaining wall with sufficient weep holes,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/145,Himachal Pradesh,Chamba,43P15,,Berrian,32.42569,75.96179,80.00,50.00,70.00,,2-3m,III,,100.00,Rock cum debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2010.00,,,,Moderately Dissected,Sandstone mudstone and conglomerate,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Toe erosin by nala
",slope benching. Proper drainage alignment from road level. ,Proper toe support as per site condition,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/143,Himachal Pradesh,Chamba,43P15,,Berrian,32.42165,75.96114,25.00,15.00,20.00,,0-1m,III,,10.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2000.00,,,,Moderately Dissected,Sandstone mudstone and conglomerate,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Road cutting,Retaining wall of suitable size and dimension with sufficient weep holes,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/144,Himachal Pradesh,Chamba,43P15,,Berrian,32.42387,75.96027,28.00,17.00,25.00,,2-3m,III,,15.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Sandstone mudstone and conglomerate,,Moderately vegetated,Damp,Sudden Toe Removal,Nill,,,,,,"Toe erosin by nala
",,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/146,Himachal Pradesh,Chamba,43P15,,Berrian,32.41993,75.96484,70.00,40.00,60.00,,2-5m,III,,40.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2005.00,,,,Moderately Dissected,Sandstone mudstone and conglomerate,,Moderately vegetated,Wet,Rainfall,Nill,,,,,,Toe cutting by River,"Retaining wall at road level, Mitigation of river erosion",Cultivation should be stop at near portion,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/147,Himachal Pradesh,Chamba,43P15,,Berrian,32.42434,75.96484,11.00,20.00,10.00,,0-1m,III,,130.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2012.00,,,,Moderately Dissected,Sandstone mudstone and conglomerate,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Toe cutting by river,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/75,Himachal Pradesh,Chamba,52D03,,Bhiora Saini,32.28208,76.15203,98.00,57.00,90.00,,2-5m,III,,160.00,Rock and Debris,Slide,Rapid,Active,Retrogressive,Multiple,shallow,Shallow planar failure,2005.00,,,,Lowly Dissected,Sandstone mudstone,,Moderately vegetated,Damp,Sudden Toe Removal,Nill,,,,,,"Toe erosin by nala
",,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/101,Himachal Pradesh,Chamba,52D03,,Sahlu village,32.38544,76.01067,40.00,20.00,35.00,,1-2m,III,,40.00,Debris,Slide,Moderate,Reactivated,Retrogressive,Single,shallow,Shallow planar failure,2000.00,,,,Moderately Dissected,Phyllite,,Sparsely vegetated,Damp,Sudden Toe Removal,Nill,,,,,,Toe cutting by river,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/197,Himachal Pradesh,Kangra,43P15,,Sahhera,32.30667,75.88824,45.00,20.00,40.00,,0-1m,III,,5.00,Rock and Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2005.00,,,,Moderately Dissected,hard compact sandstone with mudstone,,Moderately vegetated,Dripping,Rainfall,Nill,,,,,,"Road cutting, Incessant rainfall",Retaining wall at road level with Culvert,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/93,Himachal Pradesh,Chamba,52D03,,Sahlu village,32.35751,76.02365,16.00,10.00,15.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,2005.00,,,,Lowly Dissected,Phyllite and mudstone,,Sparsely vegetated,Wet,Sudden Toe Removal,Nill,,,,,,Toe cutting by River,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/94,Himachal Pradesh,Chamba,52D03,,Sahlu village,32.35944,76.02259,30.00,15.00,25.00,,0-0.5m,III,,1.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Lowly Dissected,Phyllite,,Moderately vegetated,Wet,Sudden Toe Removal,Nill,,,,,,Toe cutting by river,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/199,Himachal Pradesh,Kangra,43P15,,Maira village,32.33937,75.82582,30.00,31.00,20.00,,0-1m,III,,5.00,Debris,Slide,Extremely Slow,Suspended,Diminishing,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Dry,Rainfall,Nill,,,,,,"Road cutting, Incessant rainfall","Proper drainage diversion from affected area,Retaining wall with sufficient weep holes",Proper toe support o as per site condition,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/200,Himachal Pradesh,Kangra,43P12,,Indpur,32.15669,75.73625,12.00,13.00,10.00,,0-0.5m,III,,1.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Pebbly conglomerate with lenses of sandstone,,Moderately vegetated,Dry,Rainfall,Nill,,,Part of road damaged,,,Road cutting,Proper drainage alignment along the road,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/201,Himachal Pradesh,Kangra,43P15,,Sahni,32.28726,75.92084,10.00,8.00,6.00,,0-1m,III,,5.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,,,,,Lowly Dissected,sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Widening of road,Slope easing,Proper toe support as per site condition,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/203,Himachal Pradesh,Kangra,43P15,Kalera,Kalera,32.25954,75.94435,47.00,40.00,40.00,,0-0.5m,III,,30.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2000.00,,,,Lowly Dissected,sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Toe cutting by river,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/204,Himachal Pradesh,Kangra,43P16,,chachchiya,32.22320,75.97113,8.00,7.00,6.00,,0-0.5m,III,,1.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Road cutting,Proper drainage diversion from affected area.Slope easing,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/205,Himachal Pradesh,Kangra,43P16,,Panola village,32.22990,75.95884,10.00,9.00,9.00,,0-1m,III,,3.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Road cutting,Removal of debris from slope,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/206,Himachal Pradesh,Kangra,43P15,,Kulhan village,32.27679,75.90002,20.00,40.00,15.00,,0-0.5m,III,,2.00,Debris,Slide,Moderate,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,pebbly sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,Road blocked,Building,,incessant rainfall and road cutting,Proper retaining wall with sufficient weep holes,One building above crown portion is in danger,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/207,Himachal Pradesh,Kangra,43P15,,Nurpur,32.29797,75.89252,45.00,35.00,40.00,,0-0.5m,III,,3.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,mudstone with sandstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"loose material on the slope
Road cutting","Removal of loose material from slope,Proper toe support",Down slope settlement may slightly get damage during incessant rainfall,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/208,Himachal Pradesh,Kangra,43P16,,Badukhar,32.05690,75.82148,60.00,48.00,50.00,,2m,III,,8.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2000.00,,,,Moderately Dissected,sandstone with equal amount of varigated mudstone,,Moderately vegetated,Dry,Rainfall,Nill,,,,,,Weathered rock on Steep slope,"Drainage diversion from crown portion, Slope easing",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/209,Himachal Pradesh,Kangra,43P16,,Badukhar,32.05609,75.82217,30.00,22.00,15.00,,0-0.5m,III,,5.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,mudstone with sandstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Road cutting ,incessant rainfall","Drainage diversion from crown portion, Slope easing",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/210,Himachal Pradesh,Kangra,43P16,,Badukhar,32.05554,75.82227,30.00,25.00,25.00,,0-0.5m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Weathered rock on Steep slope,Slope easing,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/211,Himachal Pradesh,Kangra,43P16,,Badukhar,32.05451,75.82315,30.00,15.00,25.00,,0-0.5m,III,,3.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with varigated mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Weathered rock on Steep slope,Slope easing,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/212,Himachal Pradesh,Kangra,43P16,,Badukhar,32.05376,75.82498,40.00,35.00,30.00,,0-0.5m,III,,2.00,Debris,Slide,Rapid,Active,Widening,Multiple,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,SO- NS/15->West,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Road cutting and Weathered rock on Steep slope,Retaining wall of suitable size,Proper toe support as per site condition,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/167,Himachal Pradesh,Kangra,43P15,,Baduni,32.39144,75.93872,25.00,20.00,20.00,,0-0.5m,III,,3.00,Debris,Slide,Rapid,Reactivated,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Road cutting and Weathered rock on Steep slope,Retaining wall of suitable size,Proper toe support as per site condition,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/44M/13/2019/186,Himachal Pradesh,Kangra,44M13,,Ban Bilwan,31.95110,75.93519,26.00,23.00,20.00,,0-0.5m,III,,10.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,,Densely vegetated,Damp,Rainfall,Nill,,,,,,Incessant rainfall,Slope easing,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/91,Himachal Pradesh,Chamba,43P15,,Barrian nala,32.42728,75.96092,52.00,25.00,40.00,,0-1m,III,,5.00,Debris,Slide,Rapid,Reactivated,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,Part of road blocked,,,"Road cutting,Incessant rainfall ","Benching of slope, Retaining wall of suitable size and dimension",Culvert recommended,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/172,Himachal Pradesh,Kangra,43P16,,Diothi,32.06008,75.82652,27.00,22.00,20.00,,0-1m,III,,1.00,Rock and Debris,Slide,Rapid,Active,Advancing,Multiple,shallow,Shallow planar failure,,,,,Moderately Dissected,mudstone and sandstone,,Sparsely vegetated,Damp,Road Cutting,Nill,,,,,,Road cutting and Weathered rock gets saturated,Easing of slope,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/180,Himachal Pradesh,Kangra,43P16,,Bhatili,32.14354,75.87785,8.00,9.00,7.00,,0-0.5m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,conglomerate with mudstone,,Densely vegetated,Damp,Road Cutting,Nill,,,,,,"loose material on the slope
Road cutting","Removal of loose material from slope,Proper toe support",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/44M/13/2019/187,Himachal Pradesh,Kangra,44M13,,Near Gatti bala baba temple,31.95275,75.94118,13.00,12.00,1.00,,2-3m,III,,5.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2010.00,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Dry,Road Cutting,Nill,,,,,,Toe cutting by nala,Proper toe support,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/44M/13/2019/188,Himachal Pradesh,Kangra,44M13,,Near Gatti bala baba temple,31.95278,75.94135,9.00,10.00,2.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2000.00,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,,,,Toe cutting by nala,Proper toe support,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/44M/13/2019/189,Himachal Pradesh,Kangra,44M13,,Ghatti village,31.95454,75.94198,10.00,11.00,8.00,,0-1m,III,,8.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Wet,Rainfall,Nill,,,,,,Toe cutting by nala and steep slope,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/151,Himachal Pradesh,Chamba,43P15,Ghatasani pul,Ghatasani pul,32.41581,75.96955,80.00,55.00,60.00,,>5m,III,,150.00,Debris,Slide,Rapid,Active,Advancing,Single,shallow,Deep rotational failure,2010.00,,,,Moderately Dissected,conglomerate with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Road widening, Incessant rainfall",slope easing and culvert is required,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/142,Himachal Pradesh,Chamba,43P15,Berian,Berian,32.42641,75.97222,48.00,40.00,35.00,,2-3m,III,,100.00,Rock,Slide,Rapid,Reactivated,Enlarging,Multiple,shallow,Shallow planar failure,,,,,Moderately Dissected,Conglomerate and Mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Loose boulder conglomerate over saturated on steep slope,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/152,Himachal Pradesh,Chamba,43P15,Ghatasani pul,Ghatasani pul,32.41478,75.97079,24.00,20.00,20.00,,0-1m,III,,3.00,Debris,Slide,Rapid,Reactivated,Widening,Single,shallow,Shallow planar failure,2010.00,,,,Lowly Dissected,conglomerate with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Incessant rainfall.Slope cutting for road widening,slope easing and culvert is required,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
